Material,QTY.,SW-Folder Name(Folder Name),PART NUMBER,DESCRIPTION,SW-Configuration Name(Configuration Name),Finish
Massivt ï¿½del,1,C:\_PDM\Product data\Linjett 36\,12244,Pentry Lï¿½dfront,Defa
Gabon,2,C:\_PDM\Product data\Linjett 36\,12247,Akter sida spisbalja,Default,
ýdel plywood,1,C:\_PDM\Product data\Linjett 36\,12248,Aktre luckfront pentry,Default,A C s
Massivt ï¿½del,1,C:\_PDM\Product data\Linjett 36\,12250,Pentry front soptunna,Defaul
ýdel plywood,1,C:\_PDM\Product data\Linjett 36\,12252,Frýmre skott pentry,Default,A C s
ýdel plywood,1,C:\_PDM\Product data\Linjett 36\,12253,Sockel spis,Default,A C
ýdel plywood,1,C:\_PDM\Product data\Linjett 36\,12254,Sockel soptunna,Default,A C
ýdel plywood,1,C:\_PDM\Product data\Linjett 36\,12255,Sockel diskhoar,Default,A C
ýdel plywood,1,C:\_PDM\Product data\Linjett 36\,12256,Sockel framfýr pentry,Default,A C
